CODIGO,ETAPA,ENTIDAD SOCIA NACIONAL,OTRAS ENTIDADES SOCIAS
COL057,Seguimiento/Cierre,Departamento Administrativo de la Función Pública,
COL058,Apertura,Unidad Nacional para la Gestión del Riesgo de Desastres - UNGRD,
COL058,Seguimiento/Cierre,Unidad Nacional para la Gestión del Riesgo de Desastres - UNGRD,
COL059,Unico encuentro,Corporación Sisma Mujer,
COL060,Unico encuentro,Corporación Sisma Mujer,
COL061,Apertura,Cealdes,CorpoAmazonía
COL061,Seguimiento,Cealdes,CorpoAmazonía
COL061,Cierre,Cealdes,CorpoAmazonía
COL062,Apertura,Función Pública,
COL062,Seguimiento,Función Pública,
COL062,Cierre,Función Pública,
COL063,Apertura,Unidad para la Atención y Reparación Integral a las Víctimas,
COL063,Seguimiento/Cierre,Unidad para la Atención y Reparación Integral a las Víctimas,
COL064,Apertura,Corporación Sisma Mujer,
COL064,Seguimiento/Cierre,Corporación Sisma Mujer,
COL065,Apertura,Ministerio de Ambiente y Desarrollo Sostenible,"Comisión de regulación de agua potable y saneamiento básico Ministerio de Vivienda,ciudad y territorio SENA - Centro de gestión industrial. Laboratorio de Economía Circular Instituto Colombia Agropecuario - ICA"
COL065,Seguimiento,Ministerio de Ambiente y Desarrollo Sostenible,
COL065,Cierre,Ministerio de Ambiente y Desarrollo Sostenible,
COL066,Apertura,Instituto Colombiano de Bienestar Familiar - ICBF,
COL066,Seguimiento/Cierre,Instituto Colombiano de Bienestar Familiar - ICBF,
COL067,Apertura,Ministerio de la Igualdad y Equidad,
COL067,Seguimiento/Cierre,Ministerio de la Igualdad y Equidad,
COL068,Apertura,Instituto Colombiano de Bienestar Familiar - ICBF,Ejército Nacional
COL068,Seguimiento,Instituto Colombiano de Bienestar Familiar - ICBF,Ejército Nacional
COL068,Cierre,Instituto Colombiano de Bienestar Familiar - ICBF,Ejército Nacional
COL069,Unico encuentro,APC Colombia,
COL070,Apertura,Dirección de Sustitución de Cultivos de Uso Ilícito,Policia Nacional
COL071,Apertura,Centro Nacional de Memoria Histórica,Gobernación de Caqueta Gobernación de Norte de Santander Gobernación del Meta
COL071,Seguimiento,Centro Nacional de Memoria Histórica,Gobernación de Caqueta Gobernación de Norte de Santander Gobernación del Meta
COL071,Seguimiento,Centro Nacional de Memoria Histórica,Gobernación de Caqueta Gobernación de Norte de Santander Gobernación del Meta
COL072,Apertura,Dirección de Sustitución de Cultivos de Uso Ilícito,Mecanismos de acceso /Ventanilla de Negocios Verdes: Corporación Autónoma Regional del Magdalena - CORPAMAG
COL073,Apertura,Ministerio de Igualdad y Equidad,Departamento Administrtivo para la prosperidad Social Centro Nacional de Memoría Histórica
COL074,Apertura,Departamento Nacional de Planeación,Alcaldía Mayor de Bogotá
